NET_ACO,NET_PCO,NET_FCA,NET_CRR,NET_CE,NET_S_R,NET_S_S_O,NET_S_RETRAN,NET_BAD_S_R,NET_R_S,NET_P_P_R_Q,NET_P_R_E_C,NET_D_A_D_L,NET_T_R_P_L,NET_C_W_R_F,NET_C_W_R_P,NET_TCP_D_L,NET_F_RETRAN,NET_FWD_RETRAN,NET_RETRAN_S_S,NET_O_TCP_TO,NET_S_RETRAN_F,NET_T_R_L_P,NET_P_C_R_Q,NET_C_R_U_D,NET_C_R_E_U_C,NET_C_A_T,NET_T_RST_MEM,IO_R,IO_B,IO_BI,IO_BO,IO_IN,IO_CS,DATE,TIME,CPU_T_P_S,CPU_COUNT,CPU_SYS,CPU_USR,CPU_USR_N_P,CPU_IDLE,CPU_WAIT,CPU_IRQ,CPU_S_IRQ,CPU_STEAL,CPU_GUEST,CPU_F,CPU_F_A,CPU_LA_1,CPU_LA_5,CPU_LA_15,CPU_CS,CPU_INT,CPU_P_SIZE,MEM_TOT,MEM_FREE,MEM_P_CACHE,MEM_B_CACHE,MEM_SLAB,MEM_D_P,MEM_R_SLAB,NETU_TCP_R,NETU_TCP_S,NETU_UDP_R,NETU_UDP_S,NETU_IP_R,NETU_IP_S,NETU_IP_U,NETU_IP_F,MEM_USED,CPU_TOT,ID,mpatha_TS,mpatha_READS,mpatha_READ_TR,mpatha_WRITES,mpatha_WRITE_TR,mpathap1_TS,mpathap1_READS,mpathap1_READ_TR,mpathap1_WRITES,mpathap1_WRITE_TR,sda_TS,sda_READS,sda_READ_TR,sda_WRITES,sda_WRITE_TR,sdb_TS,sdb_READS,sdb_READ_TR,sdb_WRITES,sdb_WRITE_TR,sdc_TS,sdc_READS,sdc_READ_TR,sdc_WRITES,sdc_WRITE_TR,sdd_TS,sdd_READS,sdd_READ_TR,sdd_WRITES,sdd_WRITE_TR,sde_TS,sde_READS,sde_READ_TR,sde_WRITES,sde_WRITE_TR,eth0_P_RCV,eth0_B_RCV,eth0_P_SENT,eth0_B_SENT,eth0_SPEED,eth0_DUP_MODE,eth1_P_RCV,eth1_B_RCV,eth1_P_SENT,eth1_B_SENT,eth1_SPEED,eth1_DUP_MODE,eth2_P_RCV,eth2_B_RCV,eth2_P_SENT,eth2_B_SENT,eth2_SPEED,eth2_DUP_MODE,eth3_P_RCV,eth3_B_RCV,eth3_P_SENT,eth3_B_SENT,eth3_SPEED,eth3_DUP_MODE,sacf_INST,sacf_MIN_USR_CPU,sacf_MAX_USR_CPU,sacf_TOT_USR_CPU,sacf_MIN_SYS_CPU,sacf_MAX_SYS_CPU,sacf_TOT_SYS_CPU,sacf_MIN_CPU,sacf_MAX_CPU,sacf_TOT_CPU,sacf_MIN_DSK_READ,sacf_MAX_DSK_READ,sacf_TOT_DSK_READ,sacf_MIN_DSK_WRITE,sacf_MAX_DSK_WRITE,sacf_TOT_DSK_WRITE,sacf_MIN_TCP_SENT,sacf_MAX_TCP_SENT,sacf_TOT_TCP_SENT,sacf_MIN_TCP_RECV,sacf_MAX_TCP_RECV,sacf_TOT_TCP_RECV,sacf_MIN_UDP_SENT,sacf_MAX_UDP_SENT,sacf_TOT_UDP_SENT,sacf_MIN_UDP_RECV,sacf_MAX_UDP_RECV,sacf_TOT_UDP_RECV,sacf_MIN_V_MEM,sacf_MAX_V_MEM,sacf_TOT_V_MEM,sacf_MIN_V_G_MEM,sacf_MAX_V_G_MEM,sacf_TOT_V_G_MEM,sacf_MIN_R_MEM,sacf_MAX_R_MEM,sacf_TOT_R_MEM,sacf_MIN_R_G_MEM,sacf_MAX_R_G_MEM,sacf_TOT_R_G_MEM,pcef_INST,pcef_MIN_USR_CPU,pcef_MAX_USR_CPU,pcef_TOT_USR_CPU,pcef_MIN_SYS_CPU,pcef_MAX_SYS_CPU,pcef_TOT_SYS_CPU,pcef_MIN_CPU,pcef_MAX_CPU,pcef_TOT_CPU,pcef_MIN_DSK_READ,pcef_MAX_DSK_READ,pcef_TOT_DSK_READ,pcef_MIN_DSK_WRITE,pcef_MAX_DSK_WRITE,pcef_TOT_DSK_WRITE,pcef_MIN_TCP_SENT,pcef_MAX_TCP_SENT,pcef_TOT_TCP_SENT,pcef_MIN_TCP_RECV,pcef_MAX_TCP_RECV,pcef_TOT_TCP_RECV,pcef_MIN_UDP_SENT,pcef_MAX_UDP_SENT,pcef_TOT_UDP_SENT,pcef_MIN_UDP_RECV,pcef_MAX_UDP_RECV,pcef_TOT_UDP_RECV,pcef_MIN_V_MEM,pcef_MAX_V_MEM,pcef_TOT_V_MEM,pcef_MIN_V_G_MEM,pcef_MAX_V_G_MEM,pcef_TOT_V_G_MEM,pcef_MIN_R_MEM,pcef_MAX_R_MEM,pcef_TOT_R_MEM,pcef_MIN_R_G_MEM,pcef_MAX_R_G_MEM,pcef_TOT_R_G_MEM
485,0,0,0,126,11502,11834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,21,31790,79423,2013/11/25,14:20:56,100,16,8.475,6.2375,0,83.1,1,0,15.4,0,0,17024,852,0.37,0.12,0.09,397109,158962,4096,32091.19921875,2495.83203125,25588.0546875,445.41796875,1231.65234375,3.34375,1144.6953125,11503,11834,4,2,73808,76255,11599,62199,29595.3671875,14.7125,1,0,0,0,0,0,0,0,0,0,0,76,1,16,17,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704.4,1.06759338378906,733.6,0.677024841308594,1000,1,12687.4,89.6560577392578,13015.2,89.7072113037109,0,1,0,0,0,0,1000,1,0,0,0,0,0,1,2,7.8,7.8,7.8,6.2,6.2,6.2,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,216980,240020,0,23664,23664,4268,44748,49016,0,12088,12088,2,37.8,37.8,37.8,62.8,62.8,62.8,100.6,100.6,100.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,117792,127728,0,28316,28316,1928,70704,72632,0,22220,22220
25,0,2,0,126,11766,11778,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,29746,79787,7,2013/11/25,14:21:01,100,16,8.925,7.375,0,81.3375,2.2,0,15.6,0,0,22480,1126,0.34,0.11,0.09,403960,150248,4096,32091.19921875,2479.8203125,25589.46875,445.41796875,1234.97265625,3.4921875,1144.85546875,11615,11629,9,5,76688,78841,11691,64879,29611.37890625,16.3,2,0,0,0,0,0,0,0,0,0,0,176,0,0,58,3224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.2,0.153665161132813,184.8,0.169747924804688,1000,1,13128,93.6095092773437,13542.6,93.5544647216797,0,1,0,0,0,0,1000,1,0,0,0,0,0,1,2,6.4,6.4,6.4,4.6,4.6,4.6,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,216980,240020,0,0,0,4268,45332,49600,0,584,584,2,45.8,45.8,45.8,69.4,69.4,69.4,115.2,115.2,115.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,125224,135160,0,7432,7432,1928,78096,80024,0,7392,7392
0,0,0,0,126,3974,4246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,203,16741,39395,2013/11/25,14:21:06,100,16,6.675,4.1,0,87.775,1.4,0,7.4,0,0,17024,852,0.31,0.11,0.09,194671,83024,4096,32091.19921875,2477.1171875,25590.484375,445.41796875,1235.7890625,3.6875,1144.8515625,4045,4315,5,2,32445,33805,4105,28403,29614.08203125,10.775,3,0,0,0,0,0,0,0,0,0,0,125,0,0,48,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.4,0.07120361328125,150.6,0.135845947265625,1000,1,5703.4,40.7592407226563,5907,40.9462646484375,0,1,0,0,0,0,1000,1,0,0,0,0,0,1,2,2.6,2.6,2.6,2,2,2,4.6,4.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,216980,240020,0,0,0,4268,45332,49600,0,0,0,2,20.4,20.4,20.4,29.8,29.8,29.8,50.2,50.2,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,126248,136184,0,1024,1024,1928,80016,81944,0,1920,1920
0,0,0,0,126,767,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,8466,12262,2013/11/25,14:21:11,100,16,5.2875,2.6625,0,91.4625,0.6,0,1.4,0,0,17024,852,0.29,0.11,0.09,58557,41459,4096,32091.19921875,2479.30078125,25591.203125,445.41796875,1235.703125,4.43359375,1144.80859375,846,1217,6,3,5108,5557,982,4110,29611.8984375,7.95,4,0,0,0,0,0,0,0,0,0,0,42,0,0,9,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.2,0.0763656616210937,153.6,0.138752746582031,1000,1,856.2,5.89563293457031,867,5.9724609375,0,1,0,0,0,0,1000,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,216980,240020,0,0,0,4268,45332,49600,0,0,0,2,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,126248,136184,0,0,0,1928,80016,81944,0,0,0
0,0,0,0,126,382,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,517,6419,6428,2013/11/25,14:21:16,100,16,5.025,1.6875,0,92.7125,1,0,0.4,0,0,17024,852,0.26,0.11,0.09,32142,32106,4096,32091.19921875,2480.75,25591.4765625,445.421875,1235.359375,2.33203125,1144.77734375,383,739,4,2,627,807,548,35,29610.44921875,6.7125,5,0,0,0,0,0,0,0,0,0,0,96,0,0,32,5168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,0.0846450805664063,146.8,0.132443237304687,1000,1,55,0.0297119140625,16.2,0.012432861328125,0,1,0,0,0,0,1000,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,216980,240020,0,0,0,4268,45332,49600,0,0,0,2,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,126248,136184,0,0,0,1928,80016,81944,0,0,0
2,0,2,0,126,8740,9141,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,32136,88226,2013/11/25,14:21:21,100,16,8.775,6.9375,0,81.8875,0.8,0,15.4,0,0,17024,852,0.24,0.11,0.09,441172,160692,4096,32091.19921875,2470.7421875,25592.9765625,445.421875,1235.87890625,3.85546875,1144.7890625,8738,9139,9,5,84331,87352,8877,75431,29620.45703125,15.7125,6,0,0,0,0,0,0,0,0,0,0,53,0,0,8,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0.0854339599609375,166.4,0.1506103515625,1000,1,15136.8,108.61376953125,15647.2,108.758041381836,0,1,0,0,0,0,1000,1,0,0,0,0,0,1,2,5.8,5.8,5.8,4,4,4,9.8,9.8,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,217240,240280,0,260,260,4268,45372,49640,0,40,40,2,40.8,40.8,40.8,65.4,65.4,65.4,106.2,106.2,106.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,131368,141304,0,5120,5120,1928,85312,87240,0,5296,5296
0,0,0,0,126,21049,21489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,49,69061,207442,2013/11/25,14:21:26,100,16,13.9375,14.7875,0,66.55,1,0,37.4,0,0,17024,852,0.22,0.10,0.09,1037141,345267,4096,32091.19921875,2450.953125,25596.37109375,445.421875,1237.07421875,7.21875,1144.79296875,21049,21488,5,2,209365,216432,21212,188102,29640.24609375,28.725,7,0,0,0,0,0,0,0,0,0,0,72,0,0,23,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.8,0.0891769409179688,181.2,0.163362121582031,1000,1,37846.2,271.210382080078,39157.2,271.646463012695,0,1,0,0,0,0,1000,1,0,0,0,0,0,1,2,16,16,16,9.6,9.6,9.6,25.6,25.6,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,217240,240280,0,0,0,4268,47120,51388,0,1748,1748,2,106,106,106,160.6,160.6,160.6,266.6,266.6,266.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,144680,154616,0,13312,13312,1928,98188,100116,0,12876,12876
0,0,0,0,126,18286,18649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,917,57617,178526,2013/11/25,14:21:31,100,16,11.9,12,0,71.925,5.6,0,30.6,0,0,17024,852,0.20,0.10,0.09,892631,288075,4096,32091.19921875,2437.33984375,25600.4140625,445.421875,1237.3515625,7,1144.79296875,18286,18648,6,3,175398,180371,18420,156923,29653.859375,23.9,8,0,0,0,0,0,0,0,0,0,0,149,0,0,68,9168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0.0955825805664063,182,0.163787841796875,1000,1,31594.8,226.834906005859,32494,227.031289672852,0,1,0,0,0,0,1000,1,0,0,0,0,0,1,2,14.2,14.2,14.2,8.6,8.6,8.6,22.8,22.8,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,217500,240540,0,260,260,4268,47328,51596,0,208,208,2,84.8,84.8,84.8,125.6,125.6,125.6,210.4,210.4,210.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,163044,172980,0,18364,18364,1928,106412,108340,0,8224,8224
0,0,0,0,126,9515,9890,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,174,33141,96025,2013/11/25,14:21:36,100,16,9.175,7.85,0,80.375,1,0,18.2,0,0,17024,852,0.19,0.10,0.09,480125,165694,4096,32091.19921875,2426.9296875,25602.0234375,445.421875,1237.55859375,7.85546875,1144.90234375,9516,9893,4,2,91327,94386,9643,81633,29664.26953125,17.025,9,0,0,0,0,0,0,0,0,0,0,156,0,0,51,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.6,0.0876708984375,165.2,0.148054504394531,1000,1,16393.6,118.065670776367,16905.2,118.274923706055,0,1,0,0,0,0,1000,1,0,0,0,0,0,1,2,7.4,7.4,7.4,5,5,5,12.4,12.4,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,217500,240540,0,0,0,4268,49376,53644,0,2048,2048,2,53.2,53.2,53.2,78.2,78.2,78.2,131.4,131.4,131.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,165092,175028,0,2048,2048,1928,106804,108732,0,392,392
2,0,2,0,126,8304,8688,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,46,31166,81972,2013/11/25,14:21:41,100,16,8.7875,6.9125,0,81.7375,1.4,0,15.8,0,0,17024,852,0.17,0.10,0.09,409847,155815,4096,32091.19921875,2417.97265625,25603.51171875,445.421875,1237.390625,9.26171875,1144.9453125,8303,8685,9,5,79870,82476,8387,71475,29673.2265625,15.7,10,0,0,0,0,0,0,0,0,0,0,138,0,0,39,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.4,0.0754196166992187,167.6,0.15147705078125,1000,1,14374,102.825578308105,14760.8,102.876403808594,0,1,0,0,0,0,1000,1,0,0,0,0,0,1,2,6.4,6.4,6.4,4.2,4.2,4.2,10.6,10.6,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,217500,240540,0,0,0,4268,49376,53644,0,0,0,2,44.8,44.8,44.8,65.6,65.6,65.6,110.4,110.4,110.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,169188,179124,0,4096,4096,1928,111620,113548,0,4816,4816
